u_id,u_sentiment,u_stance
236339055,mixed,other
325168795,mixed,other
54153498,negative,leave
2370630903,mixed,other
145637907,mixed,other
3238875658,mixed,other
2282325169,mixed,remain
180834935,mixed,other
328577933,mixed,other
2762592056,mixed,other
15491330,positive,other
24862210,positive,other
2170986966,mixed,other
139142932,mixed,other
2875647729,mixed,other
123962559,mixed,leave
546758838,mixed,remain
14685924,mixed,other
229446071,mixed,other
577670568,mixed,other
16270167,mixed,other
289511094,mixed,other
240192814,mixed,other
249880957,mixed,other
17875880,mixed,other
17807719,mixed,other
87498576,positive,other
630321437,mixed,other
141383006,mixed,other
34937510,positive,other
1634763686,mixed,other
1119922741,mixed,other
861030870,mixed,other
1055197866,mixed,other
421105330,mixed,other
179752508,mixed,other
192993369,mixed,other
20501362,negative,other
459196789,mixed,other
390263070,negative,other
104815579,mixed,other
310746442,mixed,other
462238790,mixed,other
391510019,mixed,other
432585401,mixed,other
217078361,mixed,other
259764002,mixed,other
133247890,mixed,other
396095407,mixed,other
1316707231,mixed,other
209511347,mixed,remain
121171051,mixed,other
7349062,mixed,other
1283632358,mixed,remain
580622743,mixed,other
2392520408,mixed,other
67879486,mixed,other
2814706747,mixed,other
16558943,mixed,other
32868707,mixed,other
292986815,mixed,other
256456300,mixed,other
83711992,mixed,other
37972207,mixed,other
169538164,mixed,remain
502530129,mixed,other
284247657,mixed,other
3209265820,mixed,other
2992834163,mixed,other
4272847043,positive,leave
19775104,mixed,other
79737242,mixed,other
60303301,mixed,other
701621977,mixed,other
334229743,negative,other
442880133,mixed,other
517707729,mixed,other
17999966,mixed,other
36777333,negative,leave
1387141939,mixed,other
30268894,mixed,other
121171958,mixed,other
288909699,mixed,other
2974636437,mixed,other
23860420,positive,remain
3926907142,mixed,other
1058056284,mixed,other
19198480,mixed,other
44620154,mixed,other
370057201,mixed,other
1966149666,mixed,other
1966240603,mixed,other
1950180020,mixed,other
1950208243,mixed,other
2175847076,mixed,other
1950231350,mixed,other
1950211699,mixed,other
1966198908,mixed,other
1966248877,mixed,other
1950088040,mixed,other
1950183332,mixed,other
1966122492,mixed,other
1950210391,mixed,other
1950187358,mixed,other
1966230164,mixed,other
1950189410,mixed,other
1950082610,mixed,other
1966206097,mixed,other
1964817632,mixed,other
1966274251,mixed,other
2177414468,mixed,other
1950146958,mixed,other
1950085880,mixed,other
17665641,mixed,other
67345697,mixed,other
450700025,mixed,remain
2242207094,mixed,other
48254583,mixed,other
22000461,mixed,other
131192086,mixed,other
139461658,mixed,other
218523379,mixed,other
1934304050,mixed,other
117597342,mixed,other
284150833,mixed,other
180150531,mixed,other
4333388489,mixed,other
18160357,mixed,other
3129733982,positive,other
2809199665,mixed,other
268281388,mixed,other
107243579,mixed,other
56358450,neutral,other
2855861355,mixed,other
145894900,mixed,other
195706301,negative,other
183118752,negative,other
280034326,negative,remain
34262166,negative,other
327941852,mixed,other
1547574926,mixed,remain
23768824,mixed,other
123076750,mixed,other
